headline_id,label,mixed,hard,notes
9e5c60619f111c3146239ccb908bd5569bdf30a5,neutral,0,1,"Asset sale price stated without a gain, comparison, or net value effect."
c71bd7cb7a909df2e552dae7929e7523880e7ae0,negative,0,0,
4d9575672ee1f965bc05abeb7e0c6faf9a729ffc,positive,0,0,
e11f48ea1b6d7812e531de7d2386d814811736da,positive,0,0,
b3082f7876618f46709e125003619fae86d71df4,neutral,1,0,Bullish Cerner assessment and bearish athenahealth assessment are balanced across subjects.
2e4fb13cb78c56b4be20f714902c2433c7df2bc0,negative,0,0,
91c2fe63fe63093952ed845649b95b88a09e94b0,neutral,0,0,
2690d261c5bb45e676bed9156e3bbde3de2d35c9,neutral,0,0,R15b: Blackstone is the acquirer.
470006f5c372b5496df9ee350d0ffde6cc9edd64,positive,0,0,
40fd8e932a8f23edae800f6feada60345a376879,neutral,0,0,
80d7bcbb7b7863af5445f0bd48acb157c0d7ca1d,positive,0,0,
e844237e4fd74344793335282eaf753d496fe8c7,neutral,0,0,R5: Reported loss without expectation or prior-period comparison.
94aa9a5195bd1b9b61168ea99a1819db4f97fd09,negative,0,0,
c357c307aadc51cd876c5c5492e59550c97ab0d5,positive,0,0,
003353ddcc2868d01e5f1c122512a959fc3b1a73,neutral,0,0,
8d35c9b2b4f540fd0abfbd462f60485e2cf44561,neutral,0,0,R7: Tax credit is in a proposed bill; enactment is not stated.
ab568a4e272c1049967f5a78722f6210dd7582fc,neutral,0,0,
46ddb82880cc9b280e14bc2e3dc28710b0c13962,neutral,0,0,
05a1a3492498cab20b53d4ee6de8841d3d76b8e8,negative,0,0,R14: More shares offered and IPO price range lowered.
6a5bfbcc92ca8cd855ed5e79e5df80c328bc6dc9,neutral,0,0,
5900f7205f5229257d87ae764980bf5cb2595f6b,positive,0,0,
8157ace116dae16f03fd11a09134cc4d626aefaa,negative,0,0,
66c545b84351ee5c9c66c116e420365ad2c644ae,negative,0,0,
496b25f1164926f8607fa0e24993ccf9819bf44f,neutral,0,0,
3203963f8921c291c8d103f464a63719b6b7fa5c,neutral,0,1,"Restructuring status is clarified, but its equity-value implication is unclear."
48765f234f31d7670270e66d2ffc205f5c346b2c,neutral,0,0,
cfbb3d44a03335ac0ac6c3ee96df5b72462e6ede,neutral,0,0,
8580e3d7fecd2a4b151524d5e10f4bad4aa94bce,positive,0,0,
83df8ca6c58a8c84bbabedfb271f292cb8651668,neutral,0,0,
ba07dc07a31af7e2da512da6b56e240538649dd6,positive,0,0,
41643cf06004096c3ae5bc8b6b7cb2ec5a4075a3,neutral,0,0,
88011b21b0d4ee254105110f509e46ad594a2747,negative,0,0,
e38b1960c8983940ae5a3ec73ff94737f033f977,unusable,0,0,Orderboard referral contains no intelligible financial event.
072cc4333cc4a69243f6220e5bad5ef85ac74e2c,negative,0,0,
fb2681cc8c6ac850a84743a18c7d6506a2b32625,neutral,1,0,EPS beats; revenue misses.
be3f5026694396946d00bd261b66081dfe34ae83,neutral,0,0,
146c0768ceffb62aaaf4382c6ec85b52aee38f94,neutral,0,0,
f981e02aa29370bd95a979e77b05b9f74ea2e8f7,neutral,0,0,
d7cdbd1d19c3424ea559ed91296412f6ec51b853,neutral,0,1,Competitor's regulatory process changes; impact on Edwards is not established beyond its price move.
e24f22ee19a45ceb76f9f6abcbc8dc4ee89f2c0e,negative,0,0,Allegations remain unresolved despite denial.
e05128c1c39c9fcc4de5f8088dcf516931fb263c,positive,0,0,
570ee85fed09afcb3caa9b06ca31ddaf5a0572ea,negative,0,0,
7184939e22a27bff5c1db67e9170158cc43b188d,positive,0,0,
79e2b4e34f1834ceeb0bc2c3f96608b68e8fd0f8,positive,0,0,
68edbfc073718ea5b8e70f82a98260db228e89c1,neutral,0,1,Metaphorical sector description provides no clear financial direction.
62e71a5a60008e0d1b06d0de51d9901231955750,positive,0,0,
f44b30e885996d4ffef54bdbee9f71ca965ec95c,positive,0,0,
60642c5099942e4a55b215ebed947a7cf9563336,positive,0,0,
e1f84f1b945f6a1f5d53a59c8f6a8fd08a3e1b94,negative,0,0,Adverse infringement ruling defeats Wi-Lan's patent claims.
62aeb1f97bf3beb83dd512cd2ca0257c1f32facc,neutral,0,0,
7e586578035883f209bf77abd6297111b4b71c90,negative,0,0,
02f105523df267de6ab62c652cb8a346de5d8f27,positive,0,0,
0c63f47981c68ed376575806ad64cf6ffff729ed,positive,0,0,
ca68641c37459c2782438f48ba398cae9363f786,neutral,0,1,Project disposal lacks terms or a stated value benefit.
6107b4b4089c51baf605bf5ee1a4558175be0bf7,neutral,0,0,
5ec88f16048cb899f27971c57744f610f0f712d4,positive,0,0,
c67b08fed475b550c0a6c594bd9ab8b48c63b08f,negative,0,0,
6a2814674a170b68ef5227de843992e33cfd1df9,neutral,0,0,
848b0ffbde007ac5880ba069f719106fe65687ed,positive,0,0,R15a: Fast Track designation is a granted regulatory benefit; not final product approval.
53a3eaddc1fc139341efdbfa516560769a242940,neutral,0,0,R15b: Parker is the acquirer.
bf67cb87ce59c80e855efc2988e4354866b72ba0,negative,0,0,
6b18a66d5cea7695c1ba3a7091e815ca9af5b7a3,neutral,0,0,R15b: HARMAN is the acquirer.
199a422e82500fde413c5a5e95b704475095e53d,neutral,0,0,
70d1d0d82375ca9e7e9b5d70f4cc47d717e48d2e,negative,0,0,
bf5e8f6871046ba8751e648514a63e7560aca460,neutral,1,0,EPS beats; sales miss.
5a5dadf6e7ed7636f29c96dcd493eb34b0d91f6c,positive,0,0,
a23a881f4df23e483b4bd8072f962b9f794e3f6e,negative,0,0,
a2f048c806191d553479c7038e23b776e756603d,negative,0,0,
63db571229ed2b41f090d797b0512ca99c2ea728,neutral,0,0,
ec13bc7993bf4c268485e0ec59d8387be1f66e57,neutral,1,0,EPS beats; revenue misses.
ffa482261960b8d46f0e734d659bc6ef25275d80,neutral,0,0,R7: Skepticism about takeover speculation; no deal outcome.
8e64a6294fd58bedfe42c0c0e61ba371c1da61f7,negative,0,0,
ebb99fe3169c3ac208560ba0494dbf9056aad4f9,positive,0,0,
81130e6ed3cd0745724efc7e9de450f5f759df28,positive,0,0,
488027f3d11cc5307e04b55db437793b24de2f88,neutral,0,0,Dividend maintained; no increase or cut.
940f47fd86673b9d87559d870f280d4079569af9,neutral,0,0,
a313b0a4ee4f7c1653b0e03a000e20f3d3d8e3c2,neutral,0,0,
fbe9824e50caa45a872a104317d263ed3b774080,positive,0,0,
46b91b282c1a42eaf93cc391b24b8f48a2cd604f,positive,0,0,
8cab18ac03372a1ef2669fd993c125a751214ce5,negative,0,0,Adverse allegations about CEO credentials are news beyond the price move.
fd308f06b7cf99e760031484a211ea2bbf54ee71,negative,0,0,
40a61d3bc9d6d019083d32d97d7d718a1f5cddb9,positive,0,0,
43eb5fe3dd350c2530693ed471a8525f1faaead8,neutral,1,0,Rating downgraded while price target raised.
