headline_id,group_id,part
003353ddcc2868d01e5f1c122512a959fc3b1a73,0,evaluation
00716dcc990f68723727c1224db8ac2634b14fe8,1,evaluation
01201104de0db7577138d489c699a5c2c5307f1a,2,calibration
016edab87c1e81d0a2fc762219059e41dc747ad9,3,evaluation
01ac2dafd3f60007527fd572d0eaed28a80a907d,4,evaluation
0200b10836734d23c87815a88ffdc5ae2521a84b,5,evaluation
02117f6d92ced8a8c4bb9ac8e88fd96b17b97d1c,6,calibration
0249f1e0699516de2e836b2f6293dcffff5d13b8,7,calibration
028b9d83a7dc034182e3891a18508c05e7ee315f,8,evaluation
02f105523df267de6ab62c652cb8a346de5d8f27,9,evaluation
0329feeafc05ec72a1cb24e5928fc47ed1d4a893,10,calibration
033662c442dccfe6d50946c33db66c2954039d98,11,calibration
0375714dabbc44453e7b5997e48a950241b6b54e,12,evaluation
037b97705467169a3ae9f2ae447e9649e75b311d,13,evaluation
03b00ad705718723afa154224b2bec80d0684997,14,evaluation
03cf35c74ca8fef4dd1da0f292965526a3993253,15,calibration
0428001e84113fb6eeb0c8c19a8871756d01d303,16,evaluation
043b67e9f9f0f162cb74bf18e97640bb96435eed,17,calibration
05a1a3492498cab20b53d4ee6de8841d3d76b8e8,18,evaluation
05e7ff5f6d7cb345300c21d4fc93201fb8fc70e9,19,evaluation
0651dc59d3ebf7ae1618d5cc0f57267e7bb9d5d2,20,evaluation
06798b4e01f99d288ee299ba91506a35657ffa70,21,calibration
06cb33f28d34931d08c015b9d6d6a5f2a0ab279b,22,calibration
072cc4333cc4a69243f6220e5bad5ef85ac74e2c,23,evaluation
086efc0ecab67e9d1d27867eac70b30a2d198189,24,evaluation
089f19fe5784ab7d7e5a4fbee2cc1621a62bbd20,25,evaluation
09041db693cc309b6efc1b0ac7fd756b7e7cc944,26,evaluation
0a85629f00940fdd202625297519947c30682fca,27,evaluation
0b20d58ae9f8da0d2b3bcb15de2ff8a557653f1b,28,evaluation
0be0865722c4a58ffb44912b3e9088c21fa3c6d6,29,calibration
0c4de535a2ea8ad8e1739431a0aa104a07252ceb,30,calibration
